Episódio,Sucesso,Distância (m),Tempo (s),Velocidade (m/s)
816,Não,7.02,20.80,0.34
817,Não,7.51,16.27,0.46
818,Não,0.81,7.37,0.11
819,Não,3.84,17.07,0.22
820,Não,1.02,8.43,0.12
821,Não,4.93,13.33,0.37
822,Não,8.77,13.93,0.63
823,Não,4.34,11.27,0.39
824,Não,8.37,13.37,0.63
825,Não,0.12,15.80,0.01
826,Não,6.26,11.93,0.52
827,Não,1.36,22.63,0.06
828,Não,3.48,6.90,0.50
829,Não,0.36,7.30,0.05
830,Não,0.69,25.00,0.03
831,Não,0.50,8.00,0.06
832,Não,8.99,15.77,0.57
833,Não,1.66,10.13,0.16
834,Sim,9.03,17.00,0.53
835,Sim,9.02,23.03,0.39
836,Não,2.15,16.40,0.13
837,Não,4.16,11.10,0.37
838,Não,0.60,25.00,0.02
839,Não,2.76,8.43,0.33
840,Não,2.61,7.37,0.35
841,Não,2.03,6.13,0.33
842,Não,6.57,20.70,0.32
843,Não,7.59,11.57,0.66
844,Não,1.34,6.17,0.22
845,Sim,9.00,15.80,0.57
846,Não,7.01,12.77,0.55
847,Não,2.60,8.50,0.31
848,Não,6.24,18.13,0.34
849,Não,0.74,12.67,0.06
850,Não,6.43,16.23,0.40
851,Não,7.03,13.00,0.54
852,Não,1.35,11.03,0.12
853,Não,1.29,5.77,0.22
854,Não,0.77,12.07,0.06
855,Não,7.32,14.57,0.50
856,Não,0.70,11.77,0.06
857,Não,0.84,16.43,0.05
858,Não,5.61,10.80,0.52
859,Não,8.39,18.77,0.45
860,Não,1.16,25.00,0.05
861,Sim,9.02,17.80,0.51
862,Não,0.56,25.00,0.02
863,Não,1.70,10.27,0.17
864,Não,0.71,25.00,0.03
865,Não,0.64,13.57,0.05
866,Não,2.49,8.10,0.31
867,Não,0.81,11.20,0.07
868,Não,2.77,8.23,0.34
869,Não,5.78,16.13,0.36
870,Não,1.02,25.00,0.04
871,Não,6.70,21.33,0.31
872,Não,6.36,15.93,0.40
873,Não,0.48,24.73,0.02
874,Não,0.84,8.97,0.09
875,Não,1.06,6.90,0.15
876,Não,0.96,9.17,0.11
877,Não,4.77,9.97,0.48
878,Não,1.30,5.23,0.25
879,Não,0.78,24.33,0.03
880,Não,0.51,25.00,0.02
881,Não,0.07,16.13,0.00
882,Não,2.11,20.23,0.10
883,Não,1.81,5.57,0.33
884,Não,2.83,7.23,0.39
885,Não,0.56,8.60,0.07
886,Não,7.61,25.00,0.30
887,Não,0.67,25.00,0.03
888,Não,3.10,10.17,0.31
889,Não,8.30,14.50,0.57
890,Não,1.73,12.63,0.14
891,Não,1.98,12.73,0.16
892,Não,5.67,9.67,0.59
893,Não,6.03,23.80,0.25
894,Não,2.93,9.03,0.32
895,Não,8.10,19.27,0.42
896,Não,7.59,17.50,0.43
897,Sim,9.01,16.47,0.55
898,Não,0.63,25.00,0.03
899,Não,7.34,15.83,0.46
900,Sim,9.02,16.27,0.55
901,Não,8.68,19.10,0.45
902,Não,0.46,25.00,0.02
903,Não,7.88,13.10,0.60
904,Não,0.85,13.13,0.06
905,Não,0.50,19.63,0.03
906,Sim,9.02,15.33,0.59
907,Não,7.35,11.87,0.62
908,Não,1.63,12.93,0.13
909,Não,1.22,14.67,0.08
910,Não,2.70,6.07,0.44
911,Não,1.70,9.17,0.19
912,Não,1.31,2.03,0.65
913,Não,1.54,5.57,0.28
914,Não,8.75,24.13,0.36
915,Não,0.46,6.00,0.08
916,Não,0.96,1.57,0.61
917,Não,0.96,8.00,0.12
918,Não,0.45,25.00,0.02
919,Não,0.70,13.13,0.05
920,Não,3.20,25.00,0.13
921,Não,8.27,17.40,0.48
922,Não,1.10,1.67,0.66
923,Não,7.46,15.10,0.49
924,Sim,9.01,18.20,0.49
925,Não,2.56,21.40,0.12
926,Sim,9.01,18.67,0.48
927,Não,7.55,25.00,0.30
928,Não,8.31,19.50,0.43
929,Não,0.23,9.07,0.03
930,Não,0.52,10.23,0.05
931,Não,6.94,18.60,0.37
932,Não,1.10,6.17,0.18
933,Não,1.45,11.10,0.13
934,Não,8.08,17.23,0.47
935,Não,1.34,10.53,0.13
936,Não,8.07,12.53,0.64
937,Não,6.76,25.00,0.27
938,Não,0.84,14.33,0.06
939,Sim,9.00,13.40,0.67
940,Não,1.25,9.30,0.13
941,Não,2.02,8.60,0.23
942,Não,8.98,20.50,0.44
943,Não,1.82,25.00,0.07
944,Não,7.84,16.43,0.48
945,Não,1.25,5.27,0.24
946,Não,2.93,7.53,0.39
947,Não,8.08,15.37,0.53
948,Sim,9.00,22.70,0.40
949,Não,2.12,5.73,0.37
950,Não,2.61,16.00,0.16
951,Não,0.45,6.10,0.07
952,Não,4.12,10.00,0.41
953,Não,1.22,4.80,0.25
954,Não,1.59,10.00,0.16
955,Não,8.42,13.67,0.62
956,Não,7.54,14.97,0.50
957,Não,8.70,17.10,0.51
958,Não,1.11,7.23,0.15
959,Não,8.28,13.90,0.60
960,Não,1.60,12.33,0.13
961,Não,-0.23,3.97,-0.06
962,Não,1.05,1.73,0.61
963,Não,2.36,8.30,0.28
964,Não,1.74,19.33,0.09
965,Não,3.67,7.20,0.51
966,Não,2.70,12.67,0.21
967,Não,7.98,25.00,0.32
968,Não,1.54,16.40,0.09
969,Não,6.42,25.00,0.26
970,Não,1.44,13.33,0.11
971,Não,7.72,17.80,0.43
972,Não,-0.41,4.87,-0.08
973,Não,7.77,15.43,0.50
974,Não,2.35,10.77,0.22
975,Não,0.29,4.60,0.06
976,Não,1.24,3.63,0.34
977,Não,2.98,9.17,0.32
978,Não,0.69,11.43,0.06
979,Não,0.39,7.93,0.05
980,Não,8.46,18.67,0.45
981,Não,7.45,13.43,0.55
982,Não,0.76,9.60,0.08
983,Não,-0.18,4.53,-0.04
984,Não,2.11,6.40,0.33
985,Não,2.55,13.77,0.19
986,Não,8.18,14.57,0.56
987,Não,8.83,16.27,0.54
988,Não,1.10,8.27,0.13
989,Não,8.59,16.90,0.51
990,Não,7.23,20.13,0.36
991,Não,6.07,12.63,0.48
992,Não,8.00,14.63,0.55
993,Não,3.75,9.63,0.39
994,Não,2.58,7.23,0.36
995,Não,0.40,6.93,0.06
996,Não,7.80,15.77,0.49
997,Não,0.83,7.27,0.11
998,Não,8.13,14.13,0.58
999,Não,1.14,25.00,0.05
1000,Sim,9.02,14.27,0.63
1001,Não,1.28,25.00,0.05
1002,Não,0.45,6.30,0.07
1003,Não,3.74,18.00,0.21
1004,Não,0.85,9.03,0.09
1005,Não,0.43,25.00,0.02
1006,Não,0.66,6.33,0.10
1007,Não,0.43,25.00,0.02
1008,Não,8.28,13.93,0.59
1009,Não,1.08,3.20,0.34
1010,Não,0.96,2.63,0.36
1011,Não,0.75,15.60,0.05
1012,Não,1.96,5.70,0.34
1013,Não,8.00,15.73,0.51
1014,Não,2.79,4.87,0.57
1015,Não,0.72,25.00,0.03
1016,Não,2.23,8.97,0.25
1017,Não,0.93,10.97,0.09
1018,Não,7.25,14.07,0.52
1019,Não,5.18,9.47,0.55
1020,Não,0.50,10.20,0.05
1021,Não,0.82,18.33,0.04
1022,Sim,9.02,14.60,0.62
1023,Não,0.93,14.93,0.06
1024,Não,8.93,14.90,0.60
1025,Não,3.28,6.93,0.47
1026,Sim,9.01,17.43,0.52
1027,Sim,9.01,22.23,0.41
1028,Não,0.58,17.33,0.03
1029,Não,0.84,14.70,0.06
1030,Não,6.47,14.43,0.45
1031,Não,3.12,9.73,0.32
1032,Não,0.72,14.77,0.05
1033,Não,8.29,13.43,0.62
1034,Não,8.50,19.53,0.44
1035,Não,-0.02,6.60,-0.00
1036,Não,0.54,21.23,0.03
1037,Não,3.79,7.60,0.50
1038,Não,8.40,25.00,0.34
1039,Não,3.81,25.00,0.15
1040,Não,1.44,5.50,0.26
1041,Não,1.37,6.73,0.20
1042,Não,1.86,4.90,0.38
1043,Não,6.94,17.03,0.41
1044,Não,1.23,9.57,0.13
1045,Sim,9.02,20.83,0.43
1046,Não,7.61,11.20,0.68
1047,Não,1.76,12.43,0.14
1048,Sim,9.04,16.57,0.55
1049,Não,0.13,18.67,0.01
1050,Não,2.05,14.93,0.14
1051,Não,1.57,9.00,0.17
1052,Não,1.58,11.40,0.14
1053,Não,1.08,12.00,0.09
1054,Não,0.78,19.23,0.04
1055,Não,6.83,17.03,0.40
1056,Não,0.93,15.50,0.06
1057,Não,1.18,1.97,0.60
1058,Não,7.41,16.43,0.45
1059,Não,0.85,8.80,0.10
1060,Não,1.96,8.87,0.22
1061,Não,0.86,17.20,0.05
1062,Não,4.20,11.50,0.37
1063,Não,8.16,13.57,0.60
1064,Não,0.70,11.40,0.06
1065,Não,2.67,6.07,0.44
1066,Não,3.72,7.07,0.53
1067,Não,0.81,1.60,0.50
1068,Não,2.74,7.87,0.35
1069,Não,3.20,9.13,0.35
1070,Não,1.13,8.77,0.13
1071,Não,2.82,8.53,0.33
1072,Não,-0.03,16.27,-0.00
1073,Não,4.26,9.73,0.44
1074,Não,3.15,9.03,0.35
1075,Não,1.48,12.63,0.12
1076,Sim,9.00,18.07,0.50
1077,Não,8.51,19.13,0.44
1078,Sim,9.02,14.37,0.63
1079,Não,2.17,5.60,0.39
1080,Não,2.56,8.50,0.30
1081,Não,4.78,10.40,0.46
1082,Não,6.28,16.53,0.38
1083,Sim,9.01,14.80,0.61
1084,Não,6.38,25.00,0.26
1085,Não,1.27,25.00,0.05
1086,Não,8.63,25.00,0.35
1087,Não,0.97,7.83,0.12
1088,Não,2.33,9.53,0.24
1089,Não,1.76,6.80,0.26
1090,Não,1.22,10.23,0.12
1091,Não,5.73,12.60,0.46
1092,Não,8.89,19.27,0.46
1093,Não,5.40,11.03,0.49
1094,Não,1.03,13.53,0.08
1095,Não,3.54,9.47,0.37
1096,Não,2.16,13.63,0.16
1097,Não,0.49,25.00,0.02
1098,Não,0.95,10.57,0.09
1099,Não,8.15,15.87,0.51
1100,Não,1.96,12.47,0.16
1101,Não,7.95,17.57,0.45
1102,Não,1.76,18.27,0.10
1103,Não,3.93,9.47,0.42
1104,Não,1.66,12.37,0.13
1105,Não,1.31,11.60,0.11
1106,Não,0.67,25.00,0.03
1107,Não,2.27,10.40,0.22
1108,Não,5.61,11.20,0.50
1109,Não,0.89,8.47,0.11
1110,Sim,9.01,14.47,0.62
1111,Não,3.51,8.17,0.43
1112,Não,8.17,14.60,0.56
1113,Não,4.98,20.60,0.24
1114,Não,0.45,25.00,0.02
1115,Não,6.31,16.00,0.39
1116,Não,0.55,21.77,0.03
1117,Não,2.09,5.20,0.40
1118,Não,1.44,15.40,0.09
1119,Não,2.69,13.73,0.20
1120,Não,6.70,10.03,0.67
1121,Não,0.69,8.47,0.08
1122,Não,8.14,24.13,0.34
1123,Não,0.55,9.00,0.06
1124,Não,1.25,8.87,0.14
1125,Não,1.31,7.07,0.19
1126,Não,3.49,10.50,0.33
1127,Não,8.67,18.57,0.47
1128,Não,1.28,1.90,0.68
1129,Não,1.05,1.50,0.70
1130,Não,-0.16,5.60,-0.03
1131,Não,7.76,17.97,0.43
1132,Não,1.05,1.50,0.70
1133,Não,1.36,10.77,0.13
1134,Não,1.20,5.00,0.24
1135,Não,1.94,7.30,0.27
1136,Não,6.48,13.70,0.47
1137,Não,0.49,25.00,0.02
1138,Não,4.14,9.73,0.43
1139,Não,1.05,22.03,0.05
1140,Não,0.67,25.00,0.03
1141,Não,1.31,7.47,0.18
1142,Não,4.41,6.90,0.64
1143,Não,2.60,7.90,0.33
1144,Não,6.45,14.33,0.45
1145,Não,8.38,15.93,0.53
1146,Não,8.05,16.23,0.50
1147,Não,4.91,11.27,0.44
1148,Não,0.83,11.40,0.07
1149,Não,6.26,13.47,0.47
1150,Não,8.31,16.13,0.51
1151,Não,5.92,12.40,0.48
1152,Não,0.82,25.00,0.03
1153,Não,2.54,7.67,0.33
1154,Não,1.10,9.53,0.12
1155,Sim,9.00,15.50,0.58
1156,Não,6.18,11.60,0.53
1157,Não,8.32,21.33,0.39
1158,Não,0.08,8.33,0.01
1159,Não,0.86,8.67,0.10
1160,Sim,9.02,17.67,0.51
1161,Não,8.62,14.70,0.59
1162,Não,1.22,17.27,0.07
1163,Sim,9.02,21.13,0.43
1164,Não,0.69,5.90,0.12
1165,Sim,9.01,16.73,0.54
1166,Não,6.28,15.30,0.41
1167,Sim,9.00,13.77,0.65
1168,Não,5.03,10.73,0.47
1169,Não,0.97,21.00,0.05
1170,Não,3.02,25.00,0.12
1171,Não,0.94,16.63,0.06
1172,Sim,9.03,16.13,0.56
1173,Não,7.29,15.57,0.47
1174,Não,0.36,21.80,0.02
1175,Não,1.25,11.33,0.11
1176,Não,4.70,10.37,0.45
1177,Não,-0.06,5.47,-0.01
1178,Não,0.73,6.73,0.11
1179,Não,5.49,11.87,0.46
1180,Não,1.71,5.47,0.31
1181,Não,2.31,6.40,0.36
1182,Não,0.65,13.77,0.05
1183,Não,0.32,2.57,0.13
1184,Não,1.01,1.87,0.54
1185,Não,1.21,10.27,0.12
1186,Não,6.65,16.57,0.40
1187,Não,0.25,6.47,0.04
1188,Não,-0.29,10.83,-0.03
1189,Não,0.28,5.40,0.05
1190,Sim,9.03,18.90,0.48
1191,Não,0.02,6.07,0.00
1192,Não,6.34,18.53,0.34
1193,Não,5.91,13.20,0.45
1194,Não,0.95,2.40,0.40
1195,Não,1.36,6.93,0.20
1196,Não,0.93,9.63,0.10
1197,Não,1.08,10.17,0.11
1198,Não,6.20,15.00,0.41
1199,Sim,9.04,14.77,0.61
1200,Não,0.90,15.43,0.06
1201,Não,1.19,21.50,0.06
1202,Não,1.98,7.33,0.27
1203,Não,4.78,7.03,0.68
1204,Não,1.34,6.93,0.19
1205,Não,4.83,9.83,0.49
1206,Sim,9.01,15.73,0.57
1207,Não,1.66,6.63,0.25
1208,Não,6.04,17.23,0.35
1209,Não,1.61,4.50,0.36
1210,Não,1.16,9.73,0.12
1211,Não,7.81,21.10,0.37
1212,Sim,9.02,22.03,0.41
1213,Não,0.99,25.00,0.04
1214,Não,1.57,5.77,0.27
1215,Não,4.02,11.47,0.35
1216,Não,0.87,13.00,0.07
1217,Não,1.04,7.33,0.14
1218,Não,8.63,15.03,0.57
1219,Não,0.86,8.80,0.10
1220,Não,0.22,12.17,0.02
1221,Não,7.05,15.33,0.46
1222,Não,7.05,13.03,0.54
1223,Não,4.34,7.73,0.56
1224,Não,-0.31,3.47,-0.09
1225,Não,0.86,1.40,0.62
1226,Não,1.13,25.00,0.05
1227,Não,1.67,10.50,0.16
1228,Não,0.69,18.77,0.04
1229,Não,8.85,21.83,0.41
1230,Não,1.61,25.00,0.06
1231,Não,6.69,17.20,0.39
1232,Não,0.99,7.40,0.13
1233,Não,9.00,13.83,0.65
1234,Não,1.97,7.23,0.27
1235,Não,3.53,18.03,0.20
1236,Não,7.76,18.30,0.42
1237,Não,5.08,9.23,0.55
1238,Não,1.48,12.13,0.12
1239,Não,2.50,6.97,0.36
1240,Não,0.63,7.07,0.09
1241,Não,1.19,12.67,0.09
1242,Não,0.74,7.20,0.10
1243,Não,1.23,19.37,0.06
1244,Não,8.04,19.00,0.42
1245,Não,0.96,20.17,0.05
1246,Não,7.91,14.13,0.56
1247,Não,1.94,6.93,0.28
1248,Não,8.28,12.40,0.67
1249,Não,8.51,17.13,0.50
1250,Não,1.02,1.87,0.55
1251,Não,2.25,9.93,0.23
1252,Não,0.71,10.47,0.07
1253,Não,1.14,10.80,0.11
1254,Não,0.47,5.57,0.08
1255,Não,4.79,9.00,0.53
1256,Não,0.11,3.70,0.03
1257,Não,3.05,7.27,0.42
1258,Não,1.34,6.97,0.19
1259,Sim,9.01,15.03,0.60
1260,Não,7.14,12.53,0.57
1261,Não,1.00,25.00,0.04
1262,Não,1.13,2.13,0.53
1263,Não,0.64,6.13,0.10
1264,Não,2.99,4.67,0.64
1265,Não,3.79,11.53,0.33
1266,Não,-0.20,5.70,-0.03
1267,Não,5.10,18.80,0.27
1268,Não,6.88,13.23,0.52
1269,Não,7.91,13.87,0.57
1270,Não,1.65,23.43,0.07
1271,Não,0.81,8.13,0.10
1272,Não,0.54,14.77,0.04
1273,Não,0.51,25.00,0.02
1274,Não,6.00,9.03,0.66
1275,Não,1.04,15.10,0.07
1276,Não,3.03,16.40,0.18
1277,Não,0.38,25.00,0.02
1278,Não,5.99,13.67,0.44
1279,Não,0.82,13.23,0.06
1280,Não,0.41,25.00,0.02
1281,Não,2.33,9.47,0.25
1282,Não,0.70,13.67,0.05
1283,Não,1.22,25.00,0.05
1284,Não,1.04,3.27,0.32
1285,Não,1.45,5.00,0.29
1286,Sim,9.00,17.77,0.51
1287,Não,2.88,8.20,0.35
1288,Não,0.89,12.63,0.07
1289,Não,6.18,12.90,0.48
1290,Sim,9.04,13.20,0.69
1291,Não,0.64,24.53,0.03
1292,Não,7.86,13.87,0.57
1293,Não,1.03,14.77,0.07
1294,Não,0.41,25.00,0.02
1295,Não,1.01,7.87,0.13
1296,Não,1.45,13.30,0.11
1297,Não,5.81,9.50,0.61
1298,Não,0.31,5.57,0.05
1299,Não,5.69,9.63,0.59
1300,Não,1.18,25.00,0.05
1301,Não,6.91,14.27,0.48
1302,Não,2.16,21.00,0.10
1303,Não,1.75,18.23,0.10
1304,Não,7.88,18.67,0.42
1305,Não,8.83,17.70,0.50
1306,Não,8.08,13.23,0.61
1307,Não,0.69,8.80,0.08
1308,Não,0.77,18.13,0.04
1309,Não,6.83,16.90,0.40
1310,Não,1.09,1.43,0.76
1311,Não,5.38,10.57,0.51
1312,Não,1.62,12.17,0.13
1313,Não,7.00,10.47,0.67
1314,Não,-0.10,23.03,-0.00
1315,Não,0.33,8.77,0.04
1316,Não,-0.60,5.90,-0.10
1317,Não,0.89,9.80,0.09
1318,Não,5.93,15.93,0.37
1319,Não,6.88,25.00,0.28
1320,Não,1.00,25.00,0.04
1321,Não,6.36,11.43,0.56
1322,Não,1.19,25.00,0.05
1323,Não,1.95,6.50,0.30
1324,Não,2.53,8.10,0.31
1325,Não,0.80,22.27,0.04
1326,Não,4.80,14.63,0.33
1327,Não,1.85,5.43,0.34
1328,Não,0.60,14.97,0.04
1329,Não,0.72,16.23,0.04
1330,Não,0.44,10.93,0.04
1331,Não,0.89,1.47,0.61
1332,Não,5.60,13.77,0.41
1333,Não,5.95,10.33,0.58
1334,Não,7.90,13.73,0.58
1335,Não,0.30,8.83,0.03
1336,Não,2.73,10.37,0.26
1337,Não,1.85,16.50,0.11
1338,Não,1.14,12.57,0.09
1339,Não,7.65,13.17,0.58
1340,Não,0.68,17.07,0.04
1341,Não,1.73,9.17,0.19
1342,Não,1.67,3.87,0.43
1343,Não,1.21,5.20,0.23
1344,Não,1.08,8.33,0.13
1345,Não,0.92,4.30,0.21
1346,Não,1.55,19.27,0.08
1347,Não,1.99,5.73,0.35
1348,Não,3.96,10.63,0.37
1349,Não,1.94,9.47,0.20
1350,Não,2.30,4.93,0.47
1351,Não,2.04,6.93,0.29
1352,Não,1.90,8.17,0.23
1353,Não,0.47,15.53,0.03
1354,Não,5.18,17.47,0.30
1355,Não,0.45,4.63,0.10
1356,Não,1.04,11.57,0.09
1357,Não,1.31,7.97,0.16
1358,Não,5.91,10.60,0.56
1359,Não,5.52,10.50,0.53
1360,Não,1.58,3.43,0.46
1361,Não,1.20,11.53,0.10
1362,Sim,9.00,18.50,0.49
1363,Sim,9.02,15.27,0.59
1364,Não,8.39,20.73,0.40
1365,Não,7.97,12.47,0.64
1366,Não,6.91,18.23,0.38
1367,Não,0.85,25.00,0.03
1368,Não,0.85,25.00,0.03
1369,Não,1.80,9.27,0.19
1370,Não,3.55,19.73,0.18
1371,Sim,9.02,16.33,0.55
1372,Não,0.73,20.27,0.04
1373,Não,1.04,7.03,0.15
1374,Não,-0.07,6.53,-0.01
1375,Não,1.52,7.47,0.20
1376,Não,0.75,25.00,0.03
1377,Não,1.30,11.03,0.12
1378,Não,2.27,7.70,0.30
1379,Não,6.41,16.53,0.39
1380,Não,8.03,17.13,0.47
1381,Não,1.36,4.33,0.31
1382,Não,6.16,14.77,0.42
1383,Não,7.12,17.87,0.40
1384,Não,7.50,17.87,0.42
1385,Não,1.18,5.77,0.20
1386,Não,0.29,1.60,0.18
1387,Não,2.59,8.83,0.29
1388,Não,3.82,7.17,0.53
1389,Não,5.93,20.30,0.29
1390,Não,0.80,25.00,0.03
1391,Não,1.47,15.53,0.09
1392,Não,1.32,1.97,0.67
1393,Não,1.29,2.30,0.56
1394,Não,4.01,8.47,0.47
1395,Não,3.16,8.97,0.35
1396,Não,1.70,6.10,0.28
1397,Não,5.63,9.37,0.60
1398,Não,1.07,12.20,0.09
1399,Não,0.65,25.00,0.03
1400,Não,2.17,10.27,0.21
1401,Não,2.21,13.13,0.17
1402,Não,5.42,9.87,0.55
1403,Sim,9.01,15.93,0.57
1404,Não,6.77,15.77,0.43
1405,Sim,9.02,17.67,0.51
1406,Não,1.13,13.43,0.08
1407,Não,0.98,25.00,0.04
1408,Não,1.17,8.70,0.13
1409,Não,1.40,16.70,0.08
1410,Não,3.36,7.93,0.42
1411,Sim,9.00,23.23,0.39
1412,Não,7.96,17.47,0.46
1413,Não,5.99,25.00,0.24
1414,Não,1.14,1.77,0.65
1415,Não,1.00,7.77,0.13
1416,Não,0.56,11.77,0.05
1417,Não,0.66,10.77,0.06
1418,Sim,9.02,14.10,0.64
1419,Não,0.64,15.67,0.04
1420,Não,0.46,15.67,0.03
1421,Não,0.80,20.87,0.04
1422,Não,2.51,5.30,0.47
1423,Não,1.04,13.23,0.08
1424,Não,0.41,25.00,0.02
1425,Não,8.56,20.07,0.43
1426,Sim,9.00,14.60,0.62
1427,Não,2.57,5.30,0.49
1428,Não,2.11,9.80,0.22
1429,Não,8.78,19.60,0.45
1430,Não,2.52,22.97,0.11
1431,Não,2.06,8.77,0.24
1432,Não,8.14,16.87,0.48
1433,Não,8.22,16.37,0.50
1434,Não,7.31,10.73,0.68
1435,Não,4.46,8.93,0.50
1436,Não,8.54,22.57,0.38
1437,Sim,9.01,18.03,0.50
1438,Não,4.60,11.43,0.40
1439,Não,1.37,13.43,0.10
1440,Não,0.70,14.93,0.05
1441,Não,1.79,10.40,0.17
1442,Não,8.91,14.27,0.62
1443,Não,0.44,9.20,0.05
1444,Não,6.00,13.77,0.44
1445,Não,8.27,14.60,0.57
1446,Não,1.32,25.00,0.05
1447,Sim,9.02,13.87,0.65
1448,Não,0.27,4.20,0.06
1449,Não,1.68,17.17,0.10
1450,Não,5.26,13.87,0.38
1451,Não,7.33,15.40,0.48
1452,Não,2.65,5.03,0.53
1453,Não,1.32,11.63,0.11
1454,Sim,9.01,15.67,0.58
1455,Não,1.59,9.57,0.17
1456,Sim,9.01,17.10,0.53
1457,Não,1.28,2.23,0.57
1458,Não,1.72,18.03,0.10
1459,Não,1.31,3.67,0.36
1460,Não,1.54,3.57,0.43
1461,Não,3.07,17.43,0.18
1462,Não,0.72,21.80,0.03
1463,Não,1.12,17.03,0.07
1464,Não,7.72,12.07,0.64
1465,Não,0.59,7.93,0.07
1466,Não,1.93,8.43,0.23
1467,Não,2.09,8.23,0.25
1468,Não,0.90,5.17,0.17
1469,Não,1.24,1.70,0.73
1470,Não,0.13,2.17,0.06
1471,Não,6.78,20.93,0.32
1472,Não,1.01,9.17,0.11
1473,Não,1.28,19.27,0.07
1474,Não,0.90,25.00,0.04
1475,Não,7.75,11.47,0.68
1476,Não,0.91,25.00,0.04
1477,Não,8.50,17.87,0.48
1478,Não,0.75,7.97,0.09
1479,Não,4.38,25.00,0.18
1480,Não,0.43,25.00,0.02
1481,Não,5.55,8.27,0.67
1482,Sim,9.01,18.90,0.48
1483,Não,1.06,13.53,0.08
1484,Não,-0.37,4.67,-0.08
1485,Não,1.07,18.57,0.06
1486,Não,3.58,8.10,0.44
1487,Não,1.25,19.50,0.06
1488,Não,5.44,7.60,0.72
1489,Não,2.35,6.93,0.34
1490,Não,1.07,1.93,0.55
1491,Não,1.43,21.00,0.07
1492,Não,6.10,15.20,0.40
1493,Não,7.35,16.93,0.43
1494,Não,1.26,16.57,0.08
1495,Não,0.31,6.17,0.05
1496,Não,2.50,8.20,0.30
1497,Não,1.14,14.33,0.08
1498,Não,5.46,12.67,0.43
1499,Não,1.87,5.57,0.34
1500,Não,8.15,17.23,0.47
1501,Não,2.88,7.83,0.37
1502,Não,3.09,7.90,0.39
1503,Não,3.31,9.13,0.36
1504,Não,2.22,10.93,0.20
1505,Não,0.79,6.10,0.13
1506,Não,6.87,17.03,0.40
1507,Não,1.02,1.47,0.70
1508,Não,2.12,8.27,0.26
1509,Não,2.15,14.33,0.15
1510,Não,3.25,9.60,0.34
1511,Não,2.85,25.00,0.11
1512,Não,2.85,14.77,0.19
1513,Não,1.09,16.57,0.07
1514,Não,2.27,5.17,0.44
1515,Não,1.21,11.57,0.10
1516,Não,5.14,24.73,0.21
1517,Não,0.46,25.00,0.02
1518,Não,1.59,14.73,0.11
1519,Não,1.49,25.00,0.06
1520,Não,1.88,9.40,0.20
1521,Não,7.49,20.27,0.37
1522,Não,2.19,8.70,0.25
1523,Não,0.85,23.23,0.04
1524,Não,8.73,14.07,0.62
1525,Não,0.46,14.30,0.03
1526,Não,0.86,12.67,0.07
1527,Não,1.46,10.57,0.14
1528,Não,0.80,12.30,0.07
1529,Não,2.98,21.87,0.14
1530,Não,1.21,9.47,0.13
1531,Não,1.15,25.00,0.05
1532,Não,8.97,21.57,0.42
1533,Sim,9.01,16.03,0.56
1534,Não,3.35,10.30,0.33
1535,Não,2.13,10.27,0.21
1536,Não,8.40,16.17,0.52
1537,Não,2.22,5.53,0.40
1538,Não,5.10,12.80,0.40
1539,Não,7.52,21.27,0.35
1540,Sim,9.03,15.37,0.59
1541,Não,0.79,13.97,0.06
1542,Não,0.54,15.37,0.04
1543,Não,0.80,16.33,0.05
1544,Não,1.12,8.23,0.14
1545,Não,2.94,11.77,0.25
1546,Não,6.34,13.33,0.48
1547,Não,8.54,17.13,0.50
1548,Não,-0.28,5.00,-0.06
1549,Não,1.07,23.37,0.05
1550,Não,7.35,14.10,0.52
1551,Não,8.24,19.33,0.43
1552,Não,8.43,21.47,0.39
1553,Não,1.23,2.07,0.59
1554,Não,1.54,13.93,0.11
1555,Não,8.85,25.00,0.35
1556,Não,8.43,13.47,0.63
1557,Não,3.47,9.30,0.37
1558,Não,2.14,7.67,0.28
1559,Não,2.85,7.37,0.39
1560,Não,8.73,21.70,0.40
1561,Não,0.68,13.43,0.05
1562,Não,1.13,16.93,0.07
1563,Não,2.80,22.33,0.13
1564,Não,2.33,6.03,0.39
1565,Não,2.83,8.17,0.35
1566,Não,6.04,19.47,0.31
1567,Não,3.03,6.53,0.46
1568,Não,1.57,8.67,0.18
1569,Não,1.89,4.63,0.41
1570,Sim,9.01,14.23,0.63
